Week Starting,Company,State,City,Users,Transactions,Dollars,ASP,,,
6/30/14,Pink Cab,CA,ORANGE COUNTY, 87 , 156 ," 2,076 ", 13.31 ,,,
6/30/14,Pink Cab,AZ,PHOENIX AZ, 45 , 78 ," 1,161 ", 14.88 ,,,
6/30/14,Pink Cab,PA,PITTSBURGH PA, 21 , 45 , 516 , 11.47 ,,,
6/30/14,Pink Cab,CA,SACRAMENTO CA, 72 , 162 ," 1,860 ", 11.48 ,,,
6/30/14,Pink Cab,CA,SAN DIEGO CA, 687 ," 1,449 "," 16,890 ", 11.66 ,,,
6/30/14,Pink Cab,CA,SAN FRANCISCO CA," 1,746 "," 3,765 "," 44,601 ", 11.85 ,,,
6/30/14,Pink Cab,WA,SEATTLE WA, 135 , 264 ," 2,790 ", 10.57 ,,,
6/30/14,Pink Cab,CA,SILICON VALLEY, 231 , 417 ," 4,929 ", 11.82 ,,,
6/30/14,Pink Cab,Total US,Total US," 9,705 "," 19,257 "," 237,960 ", 12.36 ,,,
6/30/14,Pink Cab,AZ,TUCSON AZ, 27 , 48 , 894 , 18.63 ,,,
6/30/14,Pink Cab,DC,WASHINGTON DC, 204 , 354 ," 4,341 ", 12.26 ,,,
6/30/14,Yellow Cab,GA,ATLANTA GA, 315 , 642 ," 10,421 ", 16.23 ,,,
6/30/14,Yellow Cab,TX,AUSTIN TX, 128 , 250 ," 4,058 ", 16.23 ,,,
6/30/14,Yellow Cab,MA,BOSTON MA," 1,032 "," 2,386 "," 31,311 ", 13.12 ,,,
6/30/14,Yellow Cab,IL,CHICAGO IL," 2,336 "," 5,258 "," 69,352 ", 13.19 ,,,
6/30/14,Yellow Cab,TX,DALLAS TX, 309 , 623 ," 12,533 ", 20.12 ,,,
6/30/14,Yellow Cab,CO,DENVER CO, 130 , 245 ," 4,088 ", 16.69 ,,,
6/30/14,Yellow Cab,CA,LOS ANGELES CA," 1,495 "," 3,408 "," 54,910 ", 16.11 ,,,
6/30/14,Yellow Cab,FL,MIAMI FL, 149 , 337 ," 6,002 ", 17.81 ,,,
6/30/14,Yellow Cab,TN,NASHVILLE TN, 53 , 123 ," 1,660 ", 13.50 ,,,
6/30/14,Yellow Cab,NY,NEW YORK NY," 3,492 "," 7,149 "," 192,079 ", 26.87 ,,,
6/30/14,Yellow Cab,CA,ORANGE COUNTY, 134 , 259 ," 4,696 ", 18.13 ,,,
6/30/14,Yellow Cab,AZ,PHOENIX AZ, 44 , 95 ," 1,291 ", 13.59 ,,,
6/30/14,Yellow Cab,PA,PITTSBURGH PA, 29 , 56 , 705 , 12.60 ,,,
6/30/14,Yellow Cab,CA,SACRAMENTO CA, 48 , 86 ," 1,297 ", 15.08 ,,,
6/30/14,Yellow Cab,CA,SAN DIEGO CA, 574 ," 1,168 "," 18,582 ", 15.91 ,,,
6/30/14,Yellow Cab,CA,SAN FRANCISCO CA," 1,877 "," 4,990 "," 75,094 ", 15.05 ,,,
6/30/14,Yellow Cab,WA,SEATTLE WA, 265 , 530 ," 7,991 ", 15.08 ,,,
6/30/14,Yellow Cab,CA,SILICON VALLEY, 216 , 442 ," 9,986 ", 22.59 ,,,
6/30/14,Yellow Cab,Total US,Total US," 22,582 "," 48,755 "," 848,959 ", 17.41 ,,,
6/30/14,Yellow Cab,AZ,TUCSON AZ, 54 , 130 ," 1,655 ", 12.73 ,,,
6/30/14,Yellow Cab,DC,WASHINGTON DC," 1,934 "," 4,384 "," 62,662 ", 14.29 ,,,
7/7/14,Pink Cab,GA,ATLANTA GA, 99 , 192 ," 2,061 ", 10.73 ,,,
7/7/14,Pink Cab,TX,AUSTIN TX, 114 , 267 ," 3,411 ", 12.78 ,,,
7/7/14,Pink Cab,MA,BOSTON MA, 267 , 486 ," 5,415 ", 11.14 ,,,
7/7/14,Pink Cab,IL,CHICAGO IL, 531 ," 1,119 "," 12,426 ", 11.10 ,,,
7/7/14,Pink Cab,TX,DALLAS TX, 105 , 183 ," 1,926 ", 10.52 ,,,
7/7/14,Pink Cab,CO,DENVER CO, 75 , 105 ," 1,233 ", 11.74 ,,,
7/7/14,Pink Cab,CA,LOS ANGELES CA," 1,317 "," 2,703 "," 35,511 ", 13.14 ,,,
7/7/14,Pink Cab,FL,MIAMI FL, 108 , 252 ," 3,033 ", 12.04 ,,,
7/7/14,Pink Cab,TN,NASHVILLE TN, 102 , 165 ," 2,046 ", 12.40 ,,,
7/7/14,Pink Cab,NY,NEW YORK NY, 585 ," 1,158 "," 14,814 ", 12.79 ,,,
7/7/14,Pink Cab,CA,ORANGE COUNTY, 105 , 144 ," 1,878 ", 13.04 ,,,
7/7/14,Pink Cab,AZ,PHOENIX AZ, 51 , 99 ," 1,137 ", 11.48 ,,,
7/7/14,Pink Cab,PA,PITTSBURGH PA, 27 , 78 , 882 , 11.31 ,,,
7/7/14,Pink Cab,CA,SACRAMENTO CA, 87 , 180 ," 2,256 ", 12.53 ,,,
7/7/14,Pink Cab,CA,SAN DIEGO CA, 825 ," 1,491 "," 20,199 ", 13.55 ,,,
7/7/14,Pink Cab,CA,SAN FRANCISCO CA," 1,923 "," 4,578 "," 50,481 ", 11.03 ,,,
7/7/14,Pink Cab,WA,SEATTLE WA, 144 , 330 ," 3,591 ", 10.88 ,,,
7/7/14,Pink Cab,CA,SILICON VALLEY, 237 , 456 ," 5,865 ", 12.86 ,,,
7/7/14,Pink Cab,Total US,Total US," 10,986 "," 22,557 "," 277,881 ", 12.32 ,,,
7/7/14,Pink Cab,AZ,TUCSON AZ, 54 , 120 ," 1,635 ", 13.63 ,,,
7/7/14,Pink Cab,DC,WASHINGTON DC, 210 , 462 ," 5,373 ", 11.63 ,,,
7/7/14,Yellow Cab,GA,ATLANTA GA, 345 , 734 ," 13,391 ", 18.24 ,,,
7/7/14,Yellow Cab,TX,AUSTIN TX, 150 , 328 ," 4,813 ", 14.67 ,,,
7/7/14,Yellow Cab,MA,BOSTON MA," 1,079 "," 2,587 "," 32,933 ", 12.73 ,,,
7/7/14,Yellow Cab,IL,CHICAGO IL," 2,413 "," 6,031 "," 79,714 ", 13.22 ,,,
7/7/14,Yellow Cab,TX,DALLAS TX, 303 , 600 ," 11,847 ", 19.74 ,,,
7/7/14,Yellow Cab,CO,DENVER CO, 133 , 243 ," 4,403 ", 18.12 ,,,
7/7/14,Yellow Cab,CA,LOS ANGELES CA," 1,564 "," 3,838 "," 59,671 ", 15.55 ,,,
7/7/14,Yellow Cab,FL,MIAMI FL, 152 , 354 ," 6,007 ", 16.97 ,,,
7/7/14,Yellow Cab,TN,NASHVILLE TN, 58 , 118 ," 1,727 ", 14.64 ,,,
7/7/14,Yellow Cab,NY,NEW YORK NY," 4,240 "," 9,382 "," 235,448 ", 25.10 ,,,
7/7/14,Yellow Cab,CA,ORANGE COUNTY, 134 , 289 ," 5,078 ", 17.57 ,,,
7/7/14,Yellow Cab,AZ,PHOENIX AZ, 73 , 139 ," 2,189 ", 15.75 ,,,
7/7/14,Yellow Cab,PA,PITTSBURGH PA, 23 , 48 , 811 , 16.89 ,,,
7/7/14,Yellow Cab,CA,SACRAMENTO CA, 49 , 97 ," 1,424 ", 14.69 ,,,
7/7/14,Yellow Cab,CA,SAN DIEGO CA, 645 ," 1,309 "," 20,820 ", 15.91 ,,,
7/7/14,Yellow Cab,CA,SAN FRANCISCO CA," 1,973 "," 5,679 "," 77,685 ", 13.68 ,,,
7/7/14,Yellow Cab,WA,SEATTLE WA, 314 , 664 ," 9,447 ", 14.23 ,,,
7/7/14,Yellow Cab,CA,SILICON VALLEY, 277 , 584 ," 11,312 ", 19.37 ,,,
7/7/14,Yellow Cab,Total US,Total US," 24,870 "," 57,162 "," 975,230 ", 17.06 ,,,
7/7/14,Yellow Cab,AZ,TUCSON AZ, 62 , 121 ," 1,632 ", 13.49 ,,,
7/7/14,Yellow Cab,DC,WASHINGTON DC," 2,072 "," 5,116 "," 70,387 ", 13.76 ,,,
7/14/14,Pink Cab,GA,ATLANTA GA, 132 , 225 ," 2,493 ", 11.08 ,,,
7/14/14,Pink Cab,TX,AUSTIN TX, 138 , 273 ," 3,243 ", 11.88 ,,,
7/14/14,Pink Cab,MA,BOSTON MA, 231 , 486 ," 5,460 ", 11.23 ,,,
7/14/14,Pink Cab,IL,CHICAGO IL, 588 ," 1,188 "," 12,978 ", 10.92 ,,,
7/14/14,Pink Cab,TX,DALLAS TX, 66 , 144 ," 1,338 ", 9.29 ,,,
7/14/14,Pink Cab,CO,DENVER CO, 72 , 114 ," 1,284 ", 11.26 ,,,
7/14/14,Pink Cab,CA,LOS ANGELES CA," 1,227 "," 2,547 "," 29,352 ", 11.52 ,,,
7/14/14,Pink Cab,FL,MIAMI FL, 102 , 246 ," 2,559 ", 10.40 ,,,
7/14/14,Pink Cab,TN,NASHVILLE TN, 147 , 279 ," 3,474 ", 12.45 ,,,
7/14/14,Pink Cab,NY,NEW YORK NY, 555 ," 1,128 "," 15,123 ", 13.41 ,,,
7/14/14,Pink Cab,CA,ORANGE COUNTY, 90 , 141 ," 1,764 ", 12.51 ,,,
7/14/14,Pink Cab,AZ,PHOENIX AZ, 48 , 84 , 894 , 10.64 ,,,
7/14/14,Pink Cab,PA,PITTSBURGH PA, 48 , 72 , 747 , 10.38 ,,,
