,imdbID,Gross
142,tt0119698,2298191.0
143,tt0068646,134821952.0
144,tt1392190,153629485.0
145,tt0120689,136801374.0
146,tt0057012,
147,tt0096283,
148,tt0086879,51600000.0
149,tt0064116,
150,tt0114709,191796233.0
151,tt1431045,363024263.0
152,tt0022100,28877.0
153,tt3011894,3079012.0
154,tt0105236,2812029.0
155,tt0081505,
156,tt0038650,
157,tt0041959,449191.0
158,tt0034583,
159,tt1345836,448130642.0
160,tt2488496,936627416.0
161,tt0058946,43204.0
162,tt0054215,32000000.0
163,tt0816692,187991439.0
164,tt0046250,
165,tt0078788,78800000.0
166,tt2267998,167735396.0
167,tt0033870,
168,tt0112573,75600000.0
169,tt3170832,14677654.0
170,tt0097576,197171806.0
171,tt0040897,
172,tt0062622,56715371.0
173,tt1291584,13651662.0
174,tt0019254,
175,tt0066921,
176,tt0061512,
177,tt0033467,
178,tt0050783,752045.0
179,tt0169102,
180,tt0017925,
181,tt0137523,37023395.0
182,tt0405094,11284657.0
183,tt1504320,138795342.0
184,tt0064115,102308900.0
185,tt0055031,
186,tt0084787,13782838.0
187,tt0087544,
188,tt0113277,67436000.0
189,tt0105695,101157447.0
190,tt0353969,14131.0
191,tt0050083,
192,tt0758758,18352454.0
193,tt0110912,107930000.0
194,tt0018455,
195,tt1675434,13179837.0
196,tt0082096,11433134.0
197,tt0434409,70496802.0
198,tt0117951,16501785.0
199,tt0077416,
200,tt0910970,223806889.0
201,tt0027977,163245.0
202,tt0338013,34126138.0
203,tt2278388,59073773.0
204,tt1454029,169705587.0
205,tt0099685,46836394.0
206,tt0087884,
207,tt0457430,37623143.0
208,tt0060196,6100000.0
209,tt0112641,42438300.0
210,tt0050976,
211,tt0092005,52287414.0
212,tt0017136,26435.0
213,tt0111161,28341469.0
214,tt0040522,332930.0
215,tt0071562,57300000.0
216,tt0118715,17439163.0
217,tt0052311,2237659.0
218,tt0116282,25882374.0
219,tt0047396,24500000.0
220,tt0043014,
221,tt0079944,
222,tt0093058,46357676.0
223,tt0053604,
224,tt0109830,329691196.0
225,tt0118799,57598247.0
226,tt0073195,260000000.0
227,tt0169547,130058047.0
228,tt1392214,60962878.0
229,tt0051201,
230,tt0075686,39200000.0
231,tt0032976,
232,tt1375666,292568851.0
233,tt0059578,
234,tt0072890,
235,tt0076759,460935665.0
236,tt0103064,204843350.0
237,tt0056801,50690.0
238,tt0395169,23472900.0
239,tt0031381,198655278.0
240,tt0477348,74273505.0
241,tt0047296,9600000.0
242,tt1028532,
243,tt0120815,216119491.0
244,tt0086250,44700000.0
245,tt0073486,112000000.0
246,tt0209144,25530884.0
247,tt0208092,30093107.0
248,tt0089881,3522421.0
249,tt0075314,
